time,RR
0.852,852
1.676,824
2.48,804
3.248,768
4.008,760
4.804,796
5.592,788
6.416,824
7.232,816
8.076,844
8.936,860
9.812,876
10.728,916
11.656,928
12.596,940
13.52,924
14.46,940
15.324,864
16.204,880
17.068,864
17.928,860
18.784,856
19.616,832
20.464,848
21.376,912
22.26,884
23.192,932
24.144,952
25.028,884
25.952,924
26.884,932
27.776,892
28.604,828
29.456,852
30.296,840
31.128,832
31.924,796
32.74,816
33.572,832
34.392,820
35.208,816
35.968,760
36.732,764
37.516,784
38.264,748
39.032,768
39.784,752
40.536,752
41.252,716
41.98,728
42.724,744
43.428,704
44.156,728
44.876,720
45.604,728
46.32,716
47.052,732
47.792,740
48.536,744
49.3,764
50.064,764
50.836,772
51.588,752
52.328,740
53.076,748
53.788,712
54.532,744
55.272,740
55.996,724
56.74,744
57.48,740
58.24,760
58.996,756
59.752,756
60.52,768
61.28,760
62.048,768
62.8,752
63.568,768
64.372,804
65.136,764
65.924,788
66.74,816
67.532,792
68.364,832
69.204,840
70.024,820
70.844,820
71.672,828
72.48,808
73.296,816
74.112,816
74.916,804
75.704,788
76.488,784
77.248,760
78.024,776
78.764,740
79.532,768
80.3,768
81.068,768
81.856,788
82.68,824
83.496,816
84.316,820
85.116,800
85.912,796
86.72,808
87.52,800
88.312,792
89.08,768
89.856,776
90.616,760
91.36,744
92.136,776
92.892,756
93.656,764
94.424,768
95.196,772
95.976,780
96.736,760
97.524,788
98.352,828
99.144,792
99.94,796
100.732,792
101.528,796
102.288,760
103.028,740
103.764,736
104.484,720
105.184,700
105.888,704
106.62,732
107.392,772
108.184,792
109.008,824
109.78,772
110.604,824
111.432,828
112.228,796
113.016,788
113.788,772
114.536,748
115.268,732
115.984,716
116.7,716
117.368,668
118.06,692
118.748,688
119.432,684
120.164,732
120.896,732
121.708,812
122.58,872
123.424,844
124.252,828
125.104,852
125.96,856
126.756,796
127.552,796
128.336,784
129.124,788
129.864,740
130.6,736
131.368,768
132.144,776
132.92,776
133.696,776
134.44,744
135.18,740
135.912,732
136.62,708
137.364,744
138.112,748
138.88,768
139.644,764
140.444,800
141.26,816
142.092,832
142.904,812
143.752,848
144.572,820
145.372,800
146.216,844
147.032,816
147.836,804
148.648,812
149.472,824
150.248,776
151.036,788
151.816,780
152.576,760
153.352,776
154.112,760
154.848,736
155.64,792
156.404,764
157.184,780
157.964,780
158.728,764
159.484,756
160.26,776
161.064,804
161.864,800
162.656,792
